"","Native_Loc","Hosur","Bangalore","Chennai","Guraonr","Visakapatinam","Cochib","Noida"
"1","Hosur",0,40114,307760,2154502,1019201,510093,2162045
"2","Trichy",303753,342229,330267,2456616,1117143,397405,2464159
"3","Chennai",309433,347909,0,2150297,798493,693125,2157840
"4","Gurgaon",2217508,2178718,2215476,0,1783444,2726386,50840
"5","Noida",2170960,2132171,2168928,51068,1736897,2679839,0
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Cochin",512493,550968,695501,2665356,1424063,0,2672899
"8","Trivandrum",646503,684979,726384,2799367,1513259,198925,2806910
"9","Bangalore",39156,0,345701,2116403,992647,548035,2123946
"10","Coimbatore",327127,365603,510136,2479991,1238697,189991,2487534
"11","Salem",NA,NA,NA,NA,NA,NA,NA
"12","Tanjore",361363,399839,346297,2484976,1133172,448938,2492519
"13","Hyderabad",614336,575547,627771,1527494,617393,1123215,1535037
"14","Mumbai",1030498,983894,1337043,1383600,1342897,1539377,1431258
"15","Pune",887700,841095,1194245,1412583,1194885,1396578,1460240
"16","Kolkata",1890620,1858752,1670703,1493465,882354,2292965,1448165
"17","Allahabad",1767503,1728713,1765471,703043,1131645,2276381,657744
"18","Panjim",639296,592692,945841,1820424,1279057,798624,1868081
"19","Cuttack",1475363,1443495,1255446,1695192,467097,1877708,1649893
"20","Visakapatinam",1019863,987995,799946,1720496,0,1422208,1728039
"21","Belgaum",553683,507079,860229,1731069,1163858,1062562,1778726
"22","Patna",2144224,2105434,2027257,1090388,1238908,2653102,1045089
"23","Chitoor",208227,179498,158241,2124662,824578,610573,2132205
"24","Anantapur",253318,214528,419475,1904081,835326,762196,1911624
"25","Warangal",758633,719843,640642,1482882,500270,1267511,1490425
"26","Ahmedabad",1541121,1494517,1847666,906634,1853520,2050000,954292
"27","Kurnool",398017,359228,509964,1760169,693888,906896,1767712
"28","Vijayawada",674938,643070,455022,1798182,347493,1077283,1805725
"29","Vellore",173998,212473,137242,2167760,867677,576343,2175303
"30","Pondicherry",273302,311778,169902,2308581,956777,564497,2316124
"31","Nagercoil",624396,662872,704277,2777259,1491152,281387,2784802
"32","Agra",1969620,1930830,1967588,233505,1535556,2478498,188206
"33","Bhubaneshwar",1450708,1418840,1230792,1717061,442443,1853053,1671761
"34","Ghaziabad",2187753,2148963,2185721,60063,1753689,2696631,23735
"35","Baddi",2474275,2435485,2472243,315558,2040211,2983153,307607
"36","Tuticorin",542676,581152,604158,2695540,1391034,316001,2703083
"37","Tirupati",264965,250418,148771,2107547,755743,667310,2115090
"38","Faizabad",2188404,2149614,2186372,683005,1341055,2697282,637705
"39","Ambur",124068,162543,185630,2231098,897072,526413,2238641
"40","Chandigarh",2440373,2401584,2438341,281657,2006310,2949252,273706
"41","Mysore",175699,149384,482244,2265934,1142178,393124,2273477
"42","Hissar",2333639,2294850,2331607,173839,1899576,2842518,210414
"43","Delhi",2213339,2174550,2211307,42391,1779276,2722218,46672
"44","Kanpur",1973391,1934601,1971359,497623,1539327,2482269,452324
"45","Lucknow",2060918,2022129,2058886,557259,1330387,2569797,511960
